,Unnamed: 0,종목코드,종목명,현재가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,시가총액비중(%),상장주식수,EPS,PER,BPS,PBR,ROA,주당배당금,배당수익률,종목수익률,Unnamed: 22,Unnamed: 23,종목명.1
656,36580,36580,팜스코,"18,400",-150,-0.8,"18,350","18,700","17,950","259,569","4,751,295,250","675,794,151,200",0.05,"36,727,943",336,54.76,"7,264",2.53,0.046255507,0,0,0.202614379,,,
659,37620,37620,미래에셋증권,"57,200",-800,-1.4,"57,300","59,300","57,100","132,093","7,642,532,300","2,514,432,434,800",0.19,"43,958,609","4,377",13.07,"55,650",1.03,0.078652291,100,0.17,6.438231469,,,
664,42660,42660,대우조선해양,"16,000",0,0,"16,150","16,350","15,850","2,156,309","34,552,542,050","3,062,252,128,000",0.23,"191,390,758",593,26.98,"25,985",0.62,0.022820858,150,0.94,-0.67413442,,,
665,42670,42670,두산인프라코어,"10,450",-100,-1,"10,550","10,650","10,450","1,559,325","16,369,993,400","2,167,908,031,300",0.16,"207,455,314",202,51.73,"13,493",0.77,0.014970726,0,0,-0.464102564,,,
666,42700,42700,한미반도체,"13,750",350,2.6,"13,500","14,000","13,250","190,695","2,626,802,200","349,701,563,750",0.03,"25,432,841","1,291",10.65,"8,059",1.71,0.160193572,500,3.64,-0.923822715,,,
670,47040,47040,대우건설,"7,070",-140,-1.9,"7,260","7,310","7,060","1,519,582","10,887,824,010","2,938,452,050,660",0.22,"415,622,638",255,27.73,"6,327",1.12,0.040303461,0,0,-0.835581395,,,
671,47050,47050,대우인터내셔널,"26,650",250,1,"26,250","26,850","26,200","281,473","7,475,076,750","3,034,803,155,150",0.23,"113,876,291","1,620",16.45,"20,887",1.28,0.077560205,500,1.88,-0.913192182,,,
673,47810,47810,한국항공우주,"63,700","-4,700",-6.9,"68,100","68,300","63,700","1,222,068","79,645,166,800","6,209,164,315,900",0.47,"97,475,107","1,140",55.88,"10,636",5.99,0.107183152,250,0.39,0.328467153,,,
674,49770,49770,동원F&B,"333,000","-2,000",-0.6,"333,000","341,500","328,000","4,173","1,385,059,500","1,285,088,292,000",0.1,"3,859,124","15,334",21.72,"123,964",2.69,0.123697202,"3,000",0.9,50.30970724,,,
677,51600,51600,한전KPS,"107,500","4,000",3.9,"101,500","108,000","101,000","284,804","30,378,082,000","4,837,500,000,000",0.37,"45,000,000","3,740",28.74,"15,512",6.93,0.241103662,"1,670",1.55,5.595092025,,,
679,51900,51900,LG생활건강,"808,000","-23,000",-2.8,"825,000","846,000","808,000","90,765","74,108,563,000","12,619,503,176,000",0.96,"15,618,197","20,842",38.77,"92,417",8.74,0.225521279,"4,000",0.5,64.42510121,,,
681,51910,51910,LG화학,"249,500","-5,500",-2.2,"253,500","255,000","249,500","241,310","60,524,409,500","16,534,639,450,000",1.25,"66,271,100","11,798",21.15,"164,275",1.52,0.071818597,"4,000",1.6,43.6332737,,,
