,종목코드,종목명,시장구분,산업분류,현재가.종가.,전일대비,시가총액.원.,종가,EPS,PER,BPS,PBR,주당배당금,배당수익률,factor,1y_수익률
1092,025560,미래산업,코스피,의료정밀,169,-1,"107,284,309,600",169,-,-,71,2.38,0,0,,-1.190%
1093,126880,제이엔케이히터,코스닥,기계·장비,4970,-150,"107,239,280,400",4970,-,-,"3,081",1.61,0,0,,54.874%
1094,026150,특수건설,코스닥,건설,7150,90,"107,212,920,100",7150,66,108.33,"5,687",1.26,0,0,value,39.017%
1095,058730,다스코,코스피,기계,6960,340,"107,184,000,000",6960,"1,181",5.89,"8,228",0.85,200,2.87,,4.321%
1096,036170,씨티젠,코스닥,IT H/W,2935,120,"107,129,032,070",2935,-,-,"2,571",1.14,0,0,,-5.952%
1097,053690,한미글로벌,코스피,서비스업,9760,110,"106,945,688,000",9760,697,14,"8,973",1.09,200,2.05,,-3.731%
1098,160980,싸이맥스,코스닥,IT H/W,10100,-100,"106,820,569,400",10100,"1,289",7.84,"9,737",1.04,250,2.48,,12.360%
1099,093190,빅솔론,코스닥,IT H/W,5550,-10,"106,775,922,750",5550,809,6.86,"7,576",0.73,180,3.24,,-11.378%
1100,122310,제노레이,코스닥,의료·정밀기기,21700,-950,"106,771,855,400",21700,"2,407",9.02,"9,837",2.21,300,1.38,,-0.698%
1101,093230,이아이디,코스피,유통업,236,0,"106,716,532,256",236,-,-,303,0.78,0,0,,18.537%
1103,002900,동양물산,코스피,기계,920,-45,"106,157,788,000",920,-,-,842,1.09,10,1.09,,-34.540%
1104,138610,나이벡,코스닥,제약,10700,-550,"105,961,875,300",10700,-,-,"1,446",7.4,0,0,,25.566%
1105,010040,한국내화,코스피,비금속광물,4630,-230,"105,858,616,160",4630,336,13.78,"5,661",0.82,35,0.76,,-22.623%
1106,102120,어보브반도체,코스닥,IT H/W,6060,-170,"105,805,497,180",6060,497,12.19,"4,517",1.34,90,1.49,,40.411%
1107,010820,퍼스텍,코스피,기계,2260,30,"105,688,538,400",2260,-,-,844,2.68,0,0,,-37.685%
1108,009200,무림페이퍼,코스피,종이목재,2540,-40,"105,687,647,400",2540,833,3.05,"10,793",0.24,50,1.97,,-15.243%
1109,173940,에프엔씨엔터,코스닥,오락·문화,7350,50,"105,581,868,000",7350,-,-,"4,501",1.63,0,0,,7.018%
